,sender,receiver,relevanceScore
0,244,20,51
1,244,30,11
2,244,282,81
3,244,221,51
4,244,212,96
5,244,214,73
6,72,33,58
7,72,51,77
8,72,297,40
9,72,266,52
10,72,9,42
11,252,202,22
12,252,47,25
13,252,10,26
14,252,87,5
15,252,125,75
16,252,209,65
17,263,56,13
18,263,32,57
19,263,151,61
20,263,238,25
21,263,84,63
22,263,241,74
23,263,49,62
24,263,51,79
25,263,86,36
26,263,78,29
27,263,103,50
28,263,199,61
29,263,315,96
30,263,42,47
31,263,94,1
32,263,213,90
33,263,9,29
34,263,70,13
35,263,250,65
36,280,78,5
37,280,300,61
38,280,228,55
39,280,239,12
40,280,64,79
41,280,164,13
42,280,39,61
43,280,218,7
44,280,161,5
45,280,154,100
46,280,232,46
47,280,120,31
48,280,294,87
49,12,9,26
50,12,112,1
51,62,2,65
52,62,107,19
53,62,329,35
54,62,114,26
55,62,202,69
56,211,180,88
57,211,25,37
58,211,103,61
59,211,32,50
60,211,82,61
61,211,99,68
62,211,51,85
63,211,149,12
64,211,134,54
65,211,330,12
66,211,38,91
67,211,125,54
68,211,95,49
69,211,299,71
70,248,215,17
71,248,292,63
72,248,264,99
73,248,30,15
74,248,223,61
75,166,149,30
76,166,21,72
77,166,238,5
78,166,49,41
79,166,175,18
80,166,87,9
81,166,25,52
82,321,260,55
83,321,101,97
84,321,108,51
85,321,204,10
86,321,186,58
87,321,199,10
88,321,95,19
89,321,44,77
90,321,145,92
91,327,206,36
92,327,266,5
93,327,124,55
94,186,63,86
95,186,30,35
96,186,242,63
97,186,191,15
98,186,329,15
99,186,272,92
100,186,255,2
101,186,276,79
102,186,182,76
103,186,38,31
104,186,254,91
105,256,158,54
106,256,142,84
107,256,111,85
108,256,219,80
109,256,237,95
110,256,42,63
111,256,265,60
112,256,128,13
113,256,59,77
114,229,153,3
115,229,305,93
116,229,171,33
117,151,149,34
118,151,56,1
119,151,180,41
120,151,21,43
121,151,25,7
122,151,103,29
123,274,174,91
124,274,128,71
125,274,261,61
126,274,78,6
127,274,265,47
128,274,230,17
129,274,155,4
130,274,144,5
131,88,6,89
132,88,205,81
133,88,192,98
134,88,279,51
135,235,192,87
136,165,17,70
137,165,141,7
138,165,325,77
139,165,78,49
140,165,324,5
141,165,16,9
142,165,307,32
143,165,224,73
144,165,306,57
145,165,239,72
146,165,154,91
147,119,105,17
148,119,22,34
149,63,91,25
150,63,260,24
151,63,54,2
152,306,184,93
153,306,39,22
154,306,78,42
155,306,324,66
156,306,307,53
157,306,239,33
158,306,90,66
159,306,224,68
160,306,147,9
161,272,51,84
162,272,187,61
163,272,83,7
164,272,9,4
165,272,146,25
166,272,125,6
167,272,109,81
168,325,16,88
169,325,17,68
170,325,147,66
171,325,232,69
172,325,228,28
173,325,120,8
174,325,141,75
175,90,39,10
176,90,239,53
177,90,113,72
178,90,215,74
179,90,161,26
180,90,224,72
181,90,164,93
182,90,184,30
183,103,32,8
184,103,75,52
185,103,145,84
186,103,70,86
187,103,146,32
188,103,241,31
189,144,26,35
190,144,265,91
191,144,261,86
192,144,142,9
193,144,237,44
194,144,18,40
195,144,33,50
196,144,200,87
197,144,219,42
198,144,102,32
199,144,42,44
200,144,230,42
201,164,78,37
202,164,184,91
203,164,120,15
204,164,239,52
205,164,178,80
206,70,32,45
207,70,99,49
208,70,146,5
209,70,87,16
210,70,265,3
211,70,34,81
212,70,56,63
213,70,189,93
214,70,95,64
215,70,267,6
216,70,125,71
217,70,49,20
218,70,21,90
219,224,16,37
220,224,161,45
221,224,218,100
222,224,64,22
223,224,141,98
224,224,307,20
225,78,33,16
226,78,66,92
227,78,324,73
228,78,120,93
229,78,59,65
230,78,228,8
231,78,193,44
232,78,136,79
233,265,74,82
234,265,18,36
235,265,59,78
236,265,42,18
237,265,26,86
238,265,93,47
239,242,14,5
240,242,148,83
241,242,93,63
242,242,236,9
243,242,1,37
244,287,113,8
245,287,184,6
246,146,49,4
247,146,99,61
248,146,295,38
249,146,2,43
250,146,138,12
251,146,238,71
252,111,59,71
253,111,94,87
254,111,200,98
255,111,315,11
256,111,136,48
257,111,42,28
258,111,74,78
259,91,48,51
260,91,4,7
261,138,96,5
262,138,118,85
263,138,204,60
264,138,238,79
265,138,202,63
266,138,175,27
267,138,46,35
268,238,87,85
269,238,202,46
270,169,115,17
271,169,66,15
272,169,159,15
273,291,82,93
274,291,68,17
275,291,266,65
276,291,100,14
277,96,23,82
278,96,51,74
279,96,150,21
280,82,49,8
281,82,206,14
282,82,81,49
283,82,266,66
284,82,76,76
285,82,196,47
286,82,124,62
287,82,68,50
288,82,101,59
289,82,32,32
290,206,196,73
291,206,208,88
292,206,50,84
293,206,38,2
294,206,33,85
295,206,279,43
296,206,231,56
297,206,1,16
298,316,52,46
299,316,162,87
300,316,160,100
301,279,192,46
302,279,298,31
303,279,208,93
304,279,40,81
305,279,222,97
306,279,205,18
307,200,59,51
308,200,42,46
309,200,102,36
310,200,128,93
311,200,213,86
312,200,158,19
313,200,155,25
